latent_0,latent_1,job_id,anomaly_iforest,anomaly_ocsvm,umap1,umap2,cluster
-0.37157887,-0.19380073,3418309,0,0,6.2240868,-6.7245817,1
-0.42941278,0.073512495,3418314,0,0,5.196483,-7.736317,1
-0.4148472,-0.001278121,3418319,0,0,5.5078316,-7.304331,1
-0.43064845,0.083310604,3418324,0,0,5.250423,-7.8026304,1
-0.4504245,0.3150214,3418329,0,0,6.2249284,-8.918846,1
-0.43892938,0.17468075,3418334,0,0,5.6829076,-8.451299,1
-0.17293346,0.39187527,3418339,0,0,6.7700105,-8.991613,1
0.06858517,0.31862736,3418356,0,0,6.8577433,-8.96385,1
-0.43351448,0.091593415,3418363,0,0,5.3145995,-7.833407,1
-0.38272238,0.08159387,3418368,0,0,5.452737,-7.617857,1
-0.42968696,0.07948162,3418375,0,0,5.289664,-7.695617,1
-0.41499364,0.07258752,3418380,0,0,5.3371506,-7.6434345,1
-0.42806488,0.06565213,3418385,0,0,5.2244725,-7.622114,1
-0.5367729,0.89745986,3418390,0,0,7.2650867,-10.493262,1
-0.43280393,0.143339,3418395,0,0,5.6613297,-8.42427,1
-0.42382592,0.117190436,3418400,0,0,5.4442506,-8.078559,1
-0.035466477,0.32799444,3418405,0,0,6.8875427,-8.977476,1
-0.4253345,0.05267145,3418412,0,0,5.344973,-7.5117755,1
-0.43101525,0.25539935,3418417,0,0,6.1956882,-8.8717785,1
-0.42355013,0.03746598,3418422,0,0,5.422511,-7.416704,1
-0.42486948,0.08616069,3418427,0,0,5.3059597,-7.7532,1
-0.41976196,0.10216068,3418432,0,0,5.396988,-7.9760594,1
-0.5361527,0.8742482,3418437,0,0,7.218705,-10.472391,1
0.04601471,-1.2059124,3418442,0,0,10.039162,-2.5544512,1
-0.43040222,0.075837225,6590371,0,0,5.26946,-7.7517805,1
-0.41709828,0.0137134455,6590376,0,0,5.5258813,-7.36652,1
-0.3959269,-0.12749971,6590381,0,0,6.0944085,-6.816583,1
-0.4284693,0.06979123,6590386,0,0,5.2463408,-7.6209383,1
-0.46716094,0.30359522,6590391,0,0,6.1940117,-8.930933,1
-0.39888358,-0.05561507,6724944,0,0,5.838373,-7.0430636,1
-0.4234823,0.03751837,6724949,0,0,5.401429,-7.4649043,1
-0.09105305,-1.2842494,6933047,0,0,12.079675,-1.657406,1
0.045221195,-0.55920416,6933059,0,0,8.031313,-5.4031324,1
0.011630252,-1.4054936,7053513,0,0,9.554356,-0.6272462,1
-0.27392545,-0.17843486,15705910,0,0,6.3099923,-6.6595287,1
0.10680123,-1.226116,17109330,0,0,9.720679,-2.5444398,1
-0.15935445,-1.4405311,28185708,0,0,11.681565,4.503388,1
0.38272375,-0.9510941,35229152,0,0,8.449003,-3.9153972,1
-0.2867248,-0.747894,39308684,0,0,9.1360655,-5.813875,1
-0.2515728,-0.9436889,39308688,0,0,10.463192,-4.9348125,1
-0.42671132,0.048512492,39308692,0,0,5.354569,-7.4440107,1
-0.13617957,-1.4643089,46542951,0,0,10.968897,6.218734,1
0.038916126,-1.3607523,86753913,0,0,9.567157,-0.9567782,1
-0.31274885,-0.59899306,98680993,0,0,8.742955,-5.8923573,1
-0.20893598,-0.8693114,105360316,0,0,10.108027,-5.178231,1
-0.36517394,-0.30365825,106664144,0,0,6.400295,-6.563404,1
-0.3048811,-0.64144963,109341524,0,0,8.825897,-5.890872,1
-0.27330315,-0.8238616,109344935,0,0,9.306128,-5.7323256,1
